77 539
27 33 1268
77 20 7746
75 32 3113
21 18 5616
11 47 3777
44 58 1249
72 17 5902
36 30 6221
43 76 8395
49 33 977
7 28 4428
73 58 857
33 37 3745
21 14 2045
61 10 6553
6 34 555
30 65 7287
9 75 4361
28 74 7775
48 59 7639
20 72 7078
68 15 7924
12 72 4587
45 38 7237
13 26 3792
23 47 4473
64 77 5307
46 43 7567
6 29 6785
61 66 7396
21 31 4490
22 11 2162
57 10 8836
40 2 9066
4 3 162
64 41 3858
29 71 6655
40 62 81
53 18 2155
33 43 3508
71 6 4579
22 49 9881
3 7 909
10 59 7308
39 64 9939
3 6 6455
64 10 7181
76 50 4809
6 76 6135
63 73 8172
70 37 1548
54 42 1642
4 21 2674
36 47 2758
32 54 3188
75 47 2608
11 28 6616
38 42 9754
61 74 1360
35 49 8809
24 34 1836
61 1 5052
4 13 4033
64 40 9192
45 46 3771
13 2 7119
1 68 6876
36 72 4159
44 6 7725
33 8 6291
27 14 9979
10 34 9709
57 14 9863
13 61 7132
68 9 4400
46 35 1077
24 23 3493
59 12 3422
9 33 2225
52 49 4253
30 8 216
2 64 1921
11 41 1980
29 33 9627
53 71 7632
50 53 2398
18 58 8874
49 38 5307
46 40 4607
61 46 4309
31 33 6059
77 42 1107
59 8 2226
22 62 3269
56 75 4733
51 45 2594
30 51 1259
8 26 1645
29 43 525
74 74 2956
21 25 6646
47 77 760
16 26 9049
14 69 6320
65 37 589
20 41 9410
5 4 657
74 40 6501
44 13 9860
4 68 6021
7 2 1095
67 6 3644
73 15 6370
74 48 2135
12 28 5721
51 24 8729
17 18 3624
29 33 9813
71 1 4643
75 67 4212
55 24 5538
38 68 9485
34 30 6003
19 13 3997
58 38 6852
34 11 7436
36 66 5751
65 28 4106
77 46 1493
47 71 5681
29 66 3379
68 8 877
41 74 2941
19 28 841
34 29 3324
19 76 5442
6 31 9231
46 69 6002
2 56 1030
39 13 4324
31 20 6171
35 75 3359
13 43 3469
53 62 6526
1 50 4247
31 60 2711
17 52 3511
23 67 4729
75 31 3895
28 8 1645
21 60 2475
56 57 6150
18 59 4877
14 3 7289
18 71 8248
51 40 7082
75 1 371
6 55 1479
5 11 6949
59 66 46
14 67 1940
12 59 1599
12 33 4031
72 39 5365
43 65 8131
35 14 6587
59 76 2225
60 5 880
27 35 3021
2 16 1533
33 60 3857
40 76 8870
8 31 2456
59 43 7965
11 10 2575
9 47 9589
37 19 5615
