93 145
14 22 9637
24 3 33
38 26 8068
41 75 2759
32 55 5029
36 87 3552
93 28 2570
84 57 6907
40 76 4838
22 41 9888
8 80 1531
86 27 3892
25 60 1082
43 86 2836
87 88 2993
90 9 2506
78 40 7732
79 32 3775
74 39 9885
7 4 3529
32 7 7230
28 57 2675
1 44 2893
63 72 1198
54 20 8800
44 46 7268
83 72 7759
92 20 6403
76 88 7137
54 53 8508
55 81 2642
49 58 4588
61 35 6353
13 58 6424
64 11 8508
34 86 892
12 24 5244
2 55 975
1 93 5715
27 1 1765
91 49 7839
52 44 6462
54 81 5722
31 45 8260
12 92 3481
92 65 4113
50 82 5854
40 54 5564
25 1 9056
78 11 8760
57 92 4688
18 30 6051
20 72 139
85 33 2459
43 57 6783
56 10 4435
82 75 3907
85 23 2909
33 51 707
44 52 440
22 32 48
46 22 6549
62 56 4540
69 66 6682
66 79 5031
83 88 118
71 25 4824
76 30 3320
18 67 9344
82 30 9844
30 9 505
82 88 2008
28 58 1960
48 83 7467
28 13 5088
34 63 5582
52 86 4247
14 4 9718
45 10 4497
54 52 1028
2 64 3248
42 89 1919
17 10 7852
65 90 2486
34 60 4372
90 71 2700
21 8 2060
7 22 8160
1 88 7410
27 15 4126
51 72 114
27 92 5129
11 13 5808
16 42 9822
68 8 5051
56 41 7500
22 1 2387
27 62 8
58 63 8041
52 84 9091
12 65 5493
22 15 1928
59 1 4012
60 31 2937
64 31 9599
22 44 2159
61 39 5884
23 83 3239
18 76 9370
1 19 2133
46 8 7034
86 15 9771
12 53 9786
90 54 406
50 54 7603
24 71 2327
38 81 6743
2 85 6091
14 75 1777
27 70 988
41 78 8039
20 5 21
58 31 1503
66 48 1377
44 17 4803
72 53 8675
49 43 7575
9 69 1334
69 67 1987
11 40 3408
4 60 7508
87 47 4211
33 12 8588
78 10 412
51 65 7998
37 40 7354
18 81 2365
72 57 6061
14 73 4541
5 39 2710
75 76 5638
86 54 4817
64 90 8033
7 93 9330
66 91 4929
