43 1766
16 37 7668
33 9 9935
4 29 7128
4 33 7565
37 11 1028
17 24 3211
14 13 8610
23 15 8735
5 33 9051
40 29 2602
15 13 7092
8 33 2756
40 21 5668
24 23 1050
3 13 7689
12 21 122
29 40 9368
34 32 5452
27 41 2270
14 27 5654
15 12 4930
35 22 8487
35 10 6618
14 42 7733
20 25 541
27 17 2132
39 1 5562
12 8 3096
34 23 7337
9 14 9953
30 24 832
39 3 8264
22 30 2934
38 2 5001
41 43 1478
3 16 4917
29 16 378
16 16 2701
27 25 6470
25 18 2204
17 24 3942
16 10 9198
23 43 8707
9 21 6862
37 27 7056
38 31 5989
36 20 638
26 40 8477
13 19 8395
21 33 8604
36 19 9036
42 6 7347
17 19 8878
6 18 4489
2 2 1196
23 32 4548
37 23 3822
27 10 3116
35 10 9624
29 18 1056
24 24 2047
39 12 6684
9 29 7859
14 29 2905
22 28 2075
22 23 8191
38 2 3374
27 20 3012
30 27 4559
17 37 6726
28 3 6784
28 8 3213
39 29 8242
12 2 5326
13 43 8437
26 13 2870
39 21 478
5 23 465
37 8 5795
31 31 3544
39 43 5752
36 23 8143
1 10 52
1 26 7397
21 28 524
19 34 226
24 42 4275
21 25 6253
18 42 9672
34 3 8967
16 31 669
21 10 4449
14 26 8138
25 24 969
19 39 6922
40 8 9627
34 23 7687
22 34 2123
20 4 5646
10 17 5352
10 16 4552
33 17 7826
34 38 3176
9 23 5974
26 21 1920
39 21 6038
2 8 7595
1 16 2870
14 30 6098
12 31 6490
20 6 1053
24 8 3183
15 20 9788
15 25 6414
37 8 3722
27 36 1296
35 31 3453
35 8 1462
3 33 9758
34 7 6088
33 6 6873
24 22 4768
36 13 7508
33 20 6980
21 33 7458
2 10 336
38 31 1367
24 14 2884
13 2 4164
12 32 7722
11 13 9245
39 28 9692
17 34 6745
6 25 7670
24 25 7621
17 38 5152
14 25 8993
43 30 70
21 37 2049
13 43 3082
28 12 8604
6 1 9193
5 38 1585
30 15 4627
8 5 558
10 21 6368
27 22 633
39 18 5394
2 9 4250
4 20 2718
2 29 6078
19 2 1876
16 26 9486
35 18 3126
20 3 8276
34 4 9656
31 25 3595
23 40 6492
6 1 251
21 41 7159
16 26 8261
16 34 4304
19 36 8862
37 16 2951
27 5 4331
23 2 1650
35 13 1260
12 9 2496
20 2 4287
31 18 9455
9 16 877
21 32 3008
23 7 4667
23 28 4632
1 15 41
27 2 6591
16 8 8661
10 11 5013
40 8 7897
5 31 4779
9 30 9508
27 19 678
8 4 8469
22 18 7308
5 28 8714
38 26 836
19 13 8675
35 14 9388
16 29 2434
21 38 8113
38 14 3656
36 22 992
27 40 3837
33 10 2036
34 13 8166
42 6 1976
21 3 8445
23 9 5581
34 28 8023
36 25 6521
