49 2723
20 28 7362
7 7 5763
12 33 52
26 33 965
49 11 357
6 1 3788
5 36 8826
39 39 6109
25 3 9500
32 17 4330
38 38 3116
32 12 8371
5 31 9302
47 2 9064
9 3 7465
46 15 9431
26 48 4286
12 30 3751
2 25 7227
46 18 813
1 20 9674
19 19 8008
35 8 1986
32 16 5151
6 24 5329
37 44 495
39 36 2326
4 45 2511
43 9 8722
28 48 5175
4 41 8342
37 48 3346
43 15 640
14 21 4292
32 9 4222
44 21 5386
27 19 518
11 47 9121
33 32 1282
23 17 8528
29 44 9675
16 22 8992
23 25 1231
17 26 7229
27 6 3003
38 5 3830
23 28 6819
1 4 877
9 25 3467
1 8 9304
36 25 5291
16 7 8708
23 1 4807
12 30 792
33 6 6418
13 24 6147
33 49 4380
23 9 9211
36 22 7954
40 46 4480
1 34 2854
48 13 231
23 45 9778
3 42 9488
19 26 986
5 47 6661
29 46 304
11 18 3335
10 36 9406
10 15 3752
39 14 5539
24 42 7206
44 10 4713
39 29 6168
14 22 3045
16 3 3086
15 32 6672
4 4 5313
28 2 3665
41 28 8984
33 45 2281
11 39 8498
8 12 7404
17 9 6526
23 36 849
17 31 2480
13 9 3901
11 35 4092
25 16 7734
37 23 7045
38 24 120
14 9 7077
48 9 3048
48 32 9787
19 35 4515
9 14 9036
14 19 5247
37 1 4174
33 20 1322
1 44 2023
16 17 7045
49 5 7879
46 47 2386
3 44 29
34 8 4529
22 17 8268
41 10 8800
8 40 6373
33 10 9015
27 43 3093
32 45 1431
36 31 7332
35 10 4438
39 28 9785
13 9 6301
1 2 2781
29 21 2286
11 39 8503
15 39 9135
15 35 7439
38 15 7564
26 45 3574
42 41 5728
37 26 6486
30 47 1180
1 26 2471
37 31 9058
36 24 1176
48 45 4596
1 23 1118
29 2 3745
36 39 9416
44 14 4391
31 26 6209
16 43 8948
6 23 468
10 22 3841
2 15 7105
17 12 7466
46 24 1554
26 1 3060
18 40 5746
13 47 4894
30 33 6306
14 22 9171
6 23 2514
15 9 2888
4 20 8468
28 46 1996
34 48 5767
13 34 1886
28 41 6695
42 10 4358
7 40 593
29 18 8024
27 24 6490
35 11 1873
1 15 3140
9 31 7827
19 14 3142
