71 4311
25 58 7584
18 70 3797
71 17 9587
6 71 464
45 53 2279
66 23 47
59 67 1334
19 39 693
38 15 8928
14 43 624
5 21 8912
10 52 1423
55 65 5469
64 15 9532
21 27 9169
27 65 1346
64 33 8781
51 33 1539
22 29 211
39 1 4607
61 10 4106
49 24 6780
53 22 2296
42 21 712
51 56 2944
18 38 4222
70 23 6037
58 51 4707
66 3 2847
58 30 496
6 48 2463
13 44 1724
62 33 580
35 47 4466
36 55 7557
66 41 6768
14 55 7780
1 51 651
1 17 5470
44 62 871
60 2 8459
12 3 4020
2 21 435
59 66 4690
45 34 5588
16 36 2837
49 44 3903
5 56 37
47 17 4600
22 70 7439
61 62 7189
61 29 1495
14 26 6587
54 55 1626
2 61 3122
64 30 1992
14 55 4548
21 53 1952
64 53 2340
39 28 9411
29 66 3789
41 12 794
48 28 6651
13 15 1045
3 41 3212
28 46 5898
65 18 9118
1 41 5565
57 70 6897
58 25 5496
52 6 8656
5 66 6100
50 26 8256
58 59 9553
67 9 36
40 24 2399
34 14 6783
7 1 3454
8 27 1998
69 43 1203
53 67 5667
6 50 8993
61 19 2860
70 21 8344
29 66 456
59 71 8086
13 68 8899
5 24 4017
71 36 1343
71 41 8951
51 50 8302
3 61 1339
57 56 5421
58 43 5120
57 39 7187
20 8 7333
35 24 2081
58 8 1029
49 31 1416
42 52 9391
27 61 8372
4 58 1153
8 3 6390
5 38 5734
2 39 2583
43 7 3681
14 50 2395
3 62 3983
7 30 521
14 27 1216
54 51 7702
26 30 8066
4 42 5719
22 26 9060
21 13 4638
51 61 5433
17 15 3400
13 56 2761
2 12 7203
49 67 2922
39 22 5577
5 44 3516
47 51 4184
58 51 2354
34 44 6230
6 26 6955
47 28 9552
3 13 4210
58 40 5289
70 71 8172
64 53 7673
39 10 3502
4 41 3303
8 45 7020
50 50 6630
60 5 996
18 65 9976
30 21 377
24 3 6128
6 18 6506
35 17 2311
28 12 3250
11 43 494
13 21 2956
66 49 4459
50 42 2478
55 65 6020
68 43 1300
48 60 996
20 32 618
55 71 8074
9 47 555
19 41 6536
42 45 1463
38 65 6333
30 63 5343
44 46 2592
36 3 5379
49 46 3387
61 23 8246
12 4 9678
40 67 391
13 63 6122
53 56 6947
48 14 673
34 21 866
60 40 8729
33 6 518
56 28 9404
44 42 1764
37 65 9771
35 44 1448
27 43 8323
10 68 589
15 31 5712
19 38 6679
50 27 1399
60 42 7767
38 68 8277
42 31 1040
33 18 99
15 15 9458
71 30 5711
40 40 9564
5 15 1174
8 10 2287
55 9 1636
68 10 6988
35 35 7699
35 48 2303
15 60 3562
67 40 648
42 49 6359
44 24 5501
58 6 1074
46 33 5332
61 2 4587
28 21 522
60 69 1735
15 49 4804
4 63 9642
66 60 1944
68 48 4099
49 64 2386
55 50 2612
48 21 6025
15 2 6690
49 66 845
51 55 947
55 64 968
27 29 5995
6 42 9701
6 12 9293
20 59 9912
9 19 1243
1 62 3845
60 13 1787
6 64 4701
67 24 3060
44 10 2224
52 33 8168
2 23 2472
31 6 3573
55 4 31
10 26 9645
47 24 6695
15 23 7387
52 60 4218
30 15 4268
51 47 9421
54 57 8855
54 43 4534
62 66 9899
37 49 4237
70 67 3201
6 31 1150
23 5 6050
61 52 6253
57 7 8157
25 31 5541
23 41 88
70 18 3497
19 43 7069
31 14 1659
16 41 1210
70 36 2677
31 59 2726
51 24 862
31 71 2797
64 28 6632
49 51 5814
41 62 9779
12 53 198
57 37 6230
33 20 2150
10 40 6885
28 40 8119
7 55 1917
24 21 5995
70 35 1262
68 14 8524
38 58 1058
5 19 2995
71 13 564
48 37 3653
70 34 1180
7 34 7245
47 32 7830
35 69 166
49 56 2498
32 59 1769
66 9 9959
17 36 1773
60 10 9825
17 70 2706
51 13 2314
21 61 835
31 69 6817
38 22 7912
56 28 3791
15 17 3974
62 25 2457
19 42 9490
45 18 1101
25 21 5109
52 20 3984
11 21 6643
47 32 1873
29 22 9101
21 18 3862
58 53 5611
1 18 9606
52 47 4051
39 17 7298
41 71 6753
49 30 7318
18 55 5890
58 24 1757
59 47 4175
31 32 3536
66 41 8839
28 70 7119
35 57 1646
65 48 699
57 62 4922
10 54 2569
34 53 9123
3 62 2554
36 43 9343
32 65 6995
34 60 1481
39 38 2144
1 35 2749
12 17 5767
4 66 5920
1 67 6966
3 27 2110
22 44 1742
24 66 6869
13 14 299
12 9 5880
34 8 602
25 49 1027
69 30 3420
21 44 5434
47 25 7300
35 47 6890
58 23 7700
32 56 330
69 2 6935
63 42 8015
1 25 5942
7 17 3837
27 58 9773
11 1 3300
8 60 1769
52 1 2728
44 5 6328
15 13 4152
36 71 9827
16 52 9190
71 2 2404
5 32 9505
51 61 1145
47 30 6363
70 18 2139
3 70 5783
10 7 9174
20 38 7224
19 3 8345
8 66 2340
63 63 9339
50 9 8782
27 63 498
18 57 4811
34 7 5127
32 64 6840
65 42 1361
59 49 4326
50 8 950
41 20 6659
56 46 8595
38 39 564
70 31 5439
7 13 3745
46 17 8483
36 63 9170
40 4 9049
23 55 1582
65 54 2151
25 55 3400
59 41 9837
45 67 9025
54 32 3371
6 9 6055
17 45 7891
33 17 5255
61 56 8061
58 39 7537
60 8 5014
60 43 2667
70 33 8233
34 62 3960
55 49 9113
34 34 1338
5 29 2822
67 65 5611
56 19 6478
11 9 325
41 59 7073
35 40 2445
36 3 2021
34 31 6071
40 34 6136
48 31 9704
38 22 1746
58 64 3338
67 19 1338
33 56 4161
12 55 1363
56 8 7684
44 50 5838
63 50 5789
19 71 9313
40 17 7079
2 60 289
4 52 1060
26 11 8580
15 47 1369
56 37 7540
4 12 2948
8 57 5564
51 19 7472
3 63 3141
57 26 2329
8 31 1613
38 61 5809
43 13 8829
1 34 2618
9 17 1947
47 13 3066
41 71 7627
16 7 8791
43 1 9431
62 4 1262
35 41 2639
24 64 1089
61 33 7305
61 14 1440
11 56 9257
22 67 7337
7 8 3871
25 68 7667
49 42 1332
27 58 8013
7 38 6005
43 68 1169
60 60 9149
32 8 9680
12 29 7893
50 37 2617
48 26 5497
8 71 9865
65 25 2929
9 66 3022
11 16 3174
21 25 4974
68 3 3471
54 38 4269
67 35 6224
41 52 5569
25 15 9797
33 56 1822
67 67 6279
12 7 603
12 38 181
42 32 6430
48 11 399
8 15 9224
15 53 1115
6 10 4764
59 19 8762
49 7 4690
21 21 213
14 62 5202
6 56 97
39 44 8385
45 21 8690
12 47 5301
59 3 6008
38 70 8467
35 67 6847
47 10 3952
63 66 8835
27 33 1144
55 18 238
2 58 6893
14 65 4035
3 20 9120
14 70 4263
43 20 6453
31 23 1926
29 69 280
22 53 9316
53 32 6777
70 3 7423
56 16 2050
19 14 376
24 71 8977
11 54 5393
52 22 6388
31 61 3200
38 44 677
51 9 1970
44 23 9140
5 11 7597
2 62 4393
7 65 4510
14 20 4689
20 57 9937
55 56 301
26 5 2522
36 35 6436
1 28 6632
60 65 6293
9 41 3675
65 40 1256
19 66 1641
7 2 7941
18 63 1493
32 30 3383
69 67 9902
40 67 6369
27 31 4840
63 52 343
62 17 3584
69 67 2164
8 9 2744
31 43 1460
47 17 759
61 42 574
31 7 3885
38 57 5407
26 25 9072
5 58 595
52 54 8299
31 49 534
67 9 6176
37 9 1921
2 59 4467
21 11 1861
34 24 5032
54 37 2112
66 1 5946
23 54 6765
11 6 3082
35 55 9296
7 32 2584
21 1 6915
40 6 2316
21 60 5679
5 71 1380
61 39 8843
18 11 6474
34 64 2298
1 19 4782
31 15 8198
1 69 1169
57 61 5638
28 2 9533
57 22 4089
33 36 2249
64 13 1630
61 46 7514
67 37 7951
27 47 3571
16 53 2126
32 4 5533
29 9 8417
21 52 740
22 19 9360
36 9 775
25 56 1540
12 45 1361
9 58 1799
16 65 3600
30 52 9556
49 27 9436
58 51 4122
63 23 4579
59 14 911
20 59 5693
21 64 274
41 11 663
27 25 3508
23 30 245
56 43 5719
34 5 6319
14 53 8524
17 5 1663
11 43 4439
46 38 5140
63 54 425
41 29 408
46 22 1288
53 7 5441
38 28 7933
68 4 4257
53 46 6927
8 27 1519
40 71 9262
21 10 723
40 34 865
11 8 6227
34 25 9752
29 53 6259
15 2 5545
44 59 5638
71 24 4610
10 18 805
37 18 7898
38 56 3427
61 11 2117
49 9 8998
70 9 3175
61 50 3606
37 27 6777
49 54 3813
60 71 9616
21 52 467
62 30 4850
6 37 3986
48 27 3696
56 34 5285
13 60 4043
12 71 8203
22 1 196
60 27 505
32 41 881
43 49 2483
50 8 77
12 41 5242
64 10 930
27 9 2963
63 4 1017
1 25 62
67 51 7527
16 41 6389
70 14 7422
10 24 577
48 32 5887
61 23 5247
19 34 2024
32 11 6577
60 9 7181
1 58 3246
70 54 2021
48 71 74
48 46 3284
18 50 8260
4 10 8478
36 68 7459
52 61 4017
45 47 9779
52 9 3655
32 44 5753
67 62 2056
17 32 7705
38 62 506
20 13 4763
71 64 99
58 40 6159
58 36 6241
49 1 7446
12 53 6520
55 39 8942
27 19 1442
36 9 737
10 33 1978
19 31 6673
14 51 1087
69 30 1468
62 57 7043
69 57 2689
51 70 6637
37 32 693
61 1 6063
43 39 2173
48 22 6804
66 26 2763
40 45 1819
46 68 8232
15 8 5528
34 10 3975
15 37 638
40 51 4472
69 13 4151
63 18 7928
19 7 4664
6 2 3932
36 4 7571
9 62 9486
2 58 9435
51 37 5918
40 36 5201
66 70 10
4 71 519
6 65 7546
11 32 6963
71 69 5924
36 53 7993
50 67 3054
62 55 8082
71 43 8029
30 9 5893
30 37 2163
5 70 608
38 31 1654
7 24 9266
22 63 8842
11 42 7100
53 8 2736
56 8 2567
20 19 4091
51 70 2726
4 65 5910
59 28 8180
37 54 1754
14 41 5669
7 5 6025
47 8 7299
56 6 6539
25 53 1014
65 45 7931
1 71 8816
29 21 6184
51 41 1863
25 23 4878
4 31 7110
43 55 2305
20 3 6676
57 44 9742
46 34 2075
51 41 9732
12 24 5074
18 26 1740
70 35 9950
30 64 3949
66 48 8777
47 45 1789
27 29 3375
3 51 1807
55 51 374
64 40 5586
20 67 3711
68 5 2532
24 32 769
33 48 8377
17 16 2346
53 13 9106
2 52 1051
13 60 7093
37 39 2321
16 10 9822
15 14 9196
4 58 1498
6 19 1483
44 33 2406
12 69 9019
41 21 2363
42 39 174
36 60 4154
59 67 5646
43 43 8296
15 17 202
6 16 1931
41 49 8308
33 13 9682
9 32 3654
38 70 1895
64 58 5793
41 21 2641
39 42 2751
53 21 643
40 8 1977
60 34 5273
27 57 2061
13 26 8730
63 19 4624
66 1 2936
46 64 7687
39 56 7798
54 55 5488
67 56 1011
34 61 3481
4 19 2717
13 15 9211
24 1 4642
69 7 2916
38 33 3822
44 17 9044
26 49 73
25 18 4983
16 69 8669
22 46 5976
4 45 1369
3 50 7196
42 41 4203
19 29 4690
36 1 7303
48 66 8373
5 32 25
8 50 3967
21 25 7739
10 69 7832
67 18 1486
63 69 9613
49 45 1356
50 19 4119
55 17 8663
13 43 5227
69 21 5898
67 35 9300
50 19 1824
33 50 2061
63 43 3260
13 69 9765
54 13 4336
27 41 2429
41 42 4427
66 49 5747
69 6 7930
71 19 2202
47 18 1215
34 25 6505
70 37 6065
57 14 7435
50 46 730
37 58 3962
8 51 1052
46 24 3475
69 59 114
31 57 2403
45 36 7003
12 53 5419
22 39 7058
58 57 9602
10 5 5960
53 57 571
16 20 691
23 30 3319
29 32 9554
69 60 2250
47 7 1719
41 52 8361
43 2 1734
30 55 6200
45 69 2151
37 13 8779
45 15 8432
62 51 3418
66 8 974
67 26 2080
52 71 481
35 49 1109
45 19 7366
65 45 9403
23 5 6736
57 12 2365
1 63 7362
47 44 6412
35 41 3542
64 10 9039
39 37 6459
1 65 3735
10 3 8901
43 57 2701
35 22 4255
54 4 2359
36 39 9482
31 63 2794
29 49 1271
7 52 2787
36 23 2195
71 58 6870
66 51 2376
10 1 1054
51 1 1874
45 38 1227
70 6 6061
19 21 3364
51 18 627
16 2 1016
1 62 2547
3 46 2866
49 14 3786
68 33 9038
40 67 4630
32 20 2503
39 50 2945
57 14 776
27 53 8698
44 62 6538
18 32 3761
26 22 8111
11 2 284
24 67 1755
61 5 9200
35 60 8174
50 59 7738
60 20 5405
9 29 2954
66 61 9346
28 38 1152
22 41 9811
20 56 7554
39 30 1766
43 16 757
19 32 2410
31 66 2075
28 63 46
69 5 8966
43 35 7752
26 60 6722
71 1 2801
60 32 6626
58 51 9603
52 40 5647
3 23 3307
28 36 245
57 61 1555
23 51 7133
55 67 5252
11 65 5849
44 71 4107
23 35 4822
51 42 8074
63 18 5595
56 2 5541
17 46 482
61 62 7397
44 70 9594
1 18 2429
51 49 3841
37 7 2876
34 38 5685
37 17 1377
17 65 9543
58 7 8355
70 26 7269
57 18 2471
60 23 425
11 68 8983
17 41 3209
2 25 5870
20 46 4390
52 48 2317
64 7 8209
42 67 4329
60 25 423
42 59 4663
21 7 8750
69 29 2008
4 32 842
15 10 3271
4 20 216
36 6 504
20 15 5323
56 37 360
70 39 4768
36 19 6638
8 68 3812
55 30 1899
33 33 6663
59 32 2127
69 23 3400
11 21 6687
44 64 1359
16 70 8627
17 61 5642
1 25 4020
19 50 3233
7 27 2891
68 48 7108
10 50 8416
7 16 5663
66 28 1343
28 29 4245
65 43 146
71 22 443
14 59 5165
40 10 730
49 57 6199
41 33 279
26 24 6238
67 64 5793
4 5 7659
17 70 1343
15 25 9354
48 34 3193
47 70 5362
26 56 244
40 6 5214
7 59 1055
50 41 5782
55 7 6699
33 32 3739
17 6 2837
38 32 6435
71 20 7493
16 67 9635
62 27 6276
58 51 7649
42 67 9184
14 63 335
27 18 2259
23 28 9377
7 45 4335
69 6 9188
66 34 8777
41 27 7306
33 28 8454
9 8 8006
67 28 7440
50 29 6133
16 19 6105
54 4 780
37 41 1114
53 37 6135
23 26 7989
59 56 359
45 38 1849
13 7 4751
42 61 7294
62 67 6668
42 13 2553
12 71 8048
5 4 2203
12 5 5353
58 8 8225
10 58 129
30 60 6240
52 50 4935
41 62 2043
68 56 2402
1 43 411
16 42 2011
58 19 9808
29 2 8016
62 27 4530
56 19 4115
36 58 2344
13 15 4620
37 56 9354
68 11 2062
1 63 7985
49 39 7800
62 44 6491
18 59 4636
45 51 3341
15 25 6228
20 41 6435
1 68 3767
28 67 5729
28 60 3623
33 3 6792
48 46 5026
56 1 4988
47 62 7505
18 10 9362
62 16 7296
5 62 2821
46 71 895
26 54 7048
20 17 9223
3 24 7112
4 16 4640
69 63 346
62 29 6743
65 49 243
21 71 2839
21 40 9919
24 19 532
65 39 9484
51 55 3345
22 49 1169
62 33 2619
37 24 2517
28 34 4121
27 48 5606
56 25 5428
58 43 5347
24 71 4201
39 28 8336
41 46 8676
10 14 3067
8 30 9427
66 50 2439
44 30 2310
12 35 751
43 29 8928
15 70 6342
39 7 4282
68 51 9208
67 28 2520
38 9 3268
19 71 1357
56 24 4132
19 47 4994
26 54 9940
38 65 5594
31 30 9538
47 65 237
27 18 7007
28 53 4241
59 23 2139
47 23 9008
25 7 9440
12 21 2742
44 18 516
29 14 8671
54 6 449
17 55 6013
38 46 8482
1 28 9518
36 32 5637
27 21 9188
9 5 350
59 64 1962
3 43 773
48 34 6401
4 62 8569
70 28 5829
49 61 7759
58 32 493
29 63 993
48 47 5601
52 4 2780
65 58 9888
8 9 2085
16 61 2832
37 28 3825
42 68 5709
48 48 4694
30 19 3419
24 32 9593
10 62 9041
13 31 6895
66 13 8641
11 12 625
56 38 8807
38 37 2486
68 41 7378
47 29 5317
20 45 6175
69 24 436
9 38 8683
62 1 1193
32 38 2720
13 16 7857
