54 2631
19 37 7616
23 2 1875
47 30 7365
12 5 9078
13 8 3845
41 6 9981
9 50 8819
10 13 4602
53 16 3783
17 52 4240
27 12 7162
49 6 8673
48 18 4441
45 9 5565
1 30 8532
42 18 2247
13 3 3781
33 41 3457
6 28 6135
4 21 730
38 31 2772
10 21 5765
15 44 9630
2 32 8910
32 35 7015
4 48 3656
28 20 7226
36 7 1830
2 51 629
25 42 8808
24 32 6880
48 53 3046
8 25 3465
41 25 5880
25 8 2286
30 38 2567
18 43 1968
24 28 6536
42 33 627
19 5 1694
52 21 1277
14 32 8770
4 2 1801
39 28 151
39 48 702
39 18 8896
35 21 7417
37 12 4264
41 44 5879
9 26 8780
36 10 8601
38 2 473
8 2 9086
51 25 9934
33 17 3373
47 50 247
8 27 7962
6 50 656
19 27 3390
39 40 9961
50 14 8024
23 51 2317
37 50 5382
10 18 5434
27 46 3763
30 15 9968
31 26 3757
37 22 3183
37 44 3437
38 46 9485
51 23 9791
18 34 1327
1 10 4078
25 7 4021
8 40 7485
10 20 3918
19 15 2645
16 4 984
18 12 3407
43 3 4023
6 4 6221
51 13 8815
2 26 8264
45 28 418
36 14 5689
18 40 7729
23 30 7326
35 37 7231
31 37 5067
18 53 614
28 6 7734
26 9 6675
35 22 3021
41 28 3919
24 47 3314
20 22 9989
27 3 5225
53 16 8675
41 29 8704
33 27 3244
38 30 6046
17 44 9307
9 3 5931
42 32 6774
10 30 7869
42 13 3341
6 47 5944
11 46 1001
31 18 4319
5 52 1389
9 36 2151
5 49 8557
15 42 1121
29 1 2965
51 24 7486
49 26 3921
3 39 912
46 23 8764
1 16 3780
41 52 1334
40 36 7265
8 5 7327
29 9 6030
8 38 2232
14 12 789
33 38 4712
44 44 677
3 32 1647
53 40 7099
1 43 343
4 37 1947
11 37 7664
7 39 7392
53 38 2146
11 3 1314
16 4 4454
43 14 2868
7 1 5644
34 54 390
13 17 2627
44 37 7640
54 27 6797
25 3 9354
15 35 2289
5 38 7563
27 51 3751
37 4 650
51 3 8132
14 27 3134
48 13 9677
41 17 3970
39 9 1371
8 16 2431
37 42 3313
31 12 9188
21 38 7663
32 34 9199
48 45 8958
4 50 6781
9 51 5523
