100 5000
30 27 7045
31 74 8715
87 56 4082
65 56 4169
76 3 1619
27 24 70
76 83 7774
94 73 9861
23 100 6691
41 37 5166
73 27 9246
15 99 9545
58 1 5185
64 63 9339
28 62 769
75 5 6282
33 60 6622
45 38 3963
42 97 9123
11 53 8819
16 26 9454
52 83 5582
98 96 2840
80 94 6478
64 79 7909
27 23 5428
49 3 2952
86 78 3364
5 64 9262
72 39 9178
70 73 907
64 69 6358
46 80 9116
57 6 3634
50 23 8165
69 61 6428
73 49 2917
36 93 9394
23 89 691
74 97 4782
42 71 1100
59 98 3600
69 9 6694
54 76 1248
69 97 750
32 33 2891
70 13 832
31 83 4898
63 63 991
20 19 2812
79 90 1533
86 77 7320
86 74 1142
41 12 6110
82 49 196
13 56 2135
96 23 727
85 47 1084
77 45 7390
94 93 5008
22 43 1104
98 35 4745
27 53 9111
63 36 961
39 19 9222
55 53 8564
2 100 2675
1 80 3401
43 26 1569
1 96 2621
57 63 403
78 36 4908
61 34 2485
6 80 3794
35 10 5576
74 64 4184
80 20 2947
1 42 3823
56 69 7751
24 89 8758
22 71 6127
43 75 6069
3 29 846
100 35 4915
81 4 756
68 11 7001
96 38 7062
25 18 2912
64 19 5365
85 44 9983
39 47 5771
33 64 5561
25 16 6597
37 55 7384
45 36 872
72 77 9315
23 51 1882
6 55 1529
45 47 5766
44 98 8265
2 93 9214
1 1 1421
74 17 3446
64 15 2311
72 89 8631
9 19 2526
47 71 685
40 75 8232
90 70 5351
52 59 4847
99 8 3376
86 10 8924
92 81 9350
31 5 3836
43 69 304
11 61 9997
62 34 78
23 20 8277
5 43 6872
23 96 3444
16 38 488
4 94 136
54 88 8821
21 64 2038
79 96 310
29 20 7310
47 81 8550
17 15 1428
17 97 2753
57 44 7481
100 46 5765
28 5 7395
57 65 2244
37 48 9707
73 67 2916
93 37 1416
75 75 153
61 70 730
32 50 8683
33 16 9240
27 7 3523
16 25 914
7 74 7809
8 71 1582
96 1 811
62 71 3146
78 86 5018
85 27 2461
51 81 7343
49 51 8811
72 49 4081
49 17 3480
4 62 3128
88 98 942
28 72 1910
95 36 7423
9 27 7723
71 20 8053
62 53 5529
87 86 2429
13 85 9251
92 73 5531
2 3 2871
27 89 4207
79 53 1805
59 57 239
14 66 2933
13 91 1766
10 13 500
96 47 7343
3 25 9180
39 27 7328
75 54 1166
17 50 1361
91 81 7716
79 23 5267
98 15 1799
95 88 3495
33 77 276
3 70 939
58 53 5533
10 24 2483
62 43 2472
65 61 7894
88 81 5916
87 82 7032
42 52 3348
99 54 669
25 9 1835
6 25 915
13 82 3449
69 48 9797
42 23 2695
99 84 4488
36 37 1926
26 34 5317
53 99 1646
77 16 1857
31 33 3105
4 80 3562
93 3 5951
13 57 7156
84 28 3654
26 50 1353
42 28 2273
60 91 532
23 51 8016
16 92 9172
66 55 2593
83 28 3003
84 57 3238
21 26 8336
18 85 8544
55 68 2021
35 13 5783
32 57 1141
72 100 1549
21 95 4431
30 39 553
20 22 535
33 78 2095
70 9 3281
93 11 511
77 98 3364
50 31 1701
71 83 5625
33 93 7945
21 90 1614
60 1 8578
47 57 2873
81 29 9601
41 25 6587
45 53 5619
17 92 7427
82 77 8227
8 22 1674
61 9 1748
40 45 6083
44 35 9117
61 54 4840
80 29 146
52 55 5021
22 94 6775
43 62 7987
54 11 2258
19 13 696
50 87 4309
38 81 5565
97 35 2786
12 14 8859
8 57 3883
64 81 8981
24 89 8862
48 54 5846
89 41 401
49 27 6386
48 72 487
67 92 6067
10 66 584
87 12 2721
72 87 319
84 17 8750
26 80 6843
26 25 2977
28 19 4216
83 40 2338
53 42 1962
39 82 9084
86 5 6478
33 79 6214
94 62 3523
18 71 3399
24 56 1474
97 25 4294
52 76 4561
17 11 3036
88 89 9000
91 72 2326
3 30 9370
99 60 4167
45 45 6292
18 34 2964
7 91 36
73 99 3936
18 31 2785
47 51 7084
90 50 600
23 65 6168
93 23 6098
19 97 945
98 36 1371
46 78 4231
17 19 6573
84 42 7193
58 52 281
89 65 5524
11 32 6517
19 77 5770
6 50 7490
88 32 4181
98 48 7031
76 68 2436
76 55 3689
89 48 9401
58 33 3656
87 14 2494
65 48 1515
98 72 2596
55 76 3085
13 26 8501
51 37 542
26 67 6762
73 3 490
71 10 6321
8 40 8651
40 47 3135
22 88 5423
27 95 4313
51 17 9613
29 28 6205
79 4 1185
59 4 4010
42 71 4778
92 73 6006
80 80 3493
99 86 9218
1 45 9153
23 77 9373
39 38 5667
41 3 2995
93 10 8693
3 8 6303
1 37 8728
52 66 5110
95 82 1402
100 79 1447
46 40 6604
52 26 6525
98 69 6126
59 10 1746
55 20 5270
47 29 5198
86 49 1193
61 94 8287
46 26 2173
65 24 8203
39 24 6776
65 58 1978
70 4 4785
33 24 9862
93 26 4198
59 17 1274
11 47 5690
92 43 1477
74 28 4381
70 76 6648
35 49 3679
70 7 1921
14 97 8189
80 76 2019
62 91 2105
66 11 8981
53 85 250
8 79 7986
24 61 569
69 28 4068
86 7 3931
77 68 7096
64 61 1367
2 22 1915
70 88 9824
16 88 7070
8 65 5534
41 15 7864
95 33 5715
34 80 1564
66 40 6501
6 11 6507
47 83 563
64 35 8441
53 51 6399
63 17 2139
32 94 4909
67 44 5109
33 28 693
58 37 6491
37 14 3932
100 67 3493
19 35 1714
52 39 174
49 82 5907
75 27 1614
74 92 7408
13 15 8392
71 59 5321
39 45 8804
17 76 3537
83 86 758
50 71 2341
2 7 2420
93 96 3521
77 48 1120
86 3 8682
93 35 9424
26 50 7531
29 86 797
3 1 6756
10 13 7307
47 53 3161
29 31 9895
56 14 6340
60 11 8165
15 60 3936
72 58 2864
87 43 3321
35 40 5496
29 35 7339
99 98 9124
24 90 1824
82 60 2611
21 42 8631
25 93 7696
99 76 1853
86 41 359
69 84 7679
38 52 7283
82 36 6170
75 37 1535
90 62 5065
43 80 9940
23 45 5952
88 95 2452
51 56 7009
20 49 1827
61 40 3412
62 47 2865
13 9 9669
1 56 1603
97 65 756
45 30 275
76 15 210
79 67 119
79 60 5075
59 18 6597
96 97 8589
29 39 1533
75 100 2033
73 18 8107
24 35 9603
97 94 3608
78 71 1087
24 29 1580
56 34 7445
53 80 449
48 93 9362
15 15 6645
25 61 159
2 23 6943
3 41 9701
78 20 3227
41 27 9033
44 90 8613
36 6 7876
42 56 3503
71 30 5840
47 22 3117
64 3 2135
6 83 8488
61 72 6805
96 40 8436
62 38 9644
58 19 8653
8 20 1303
63 97 6933
72 22 7912
7 51 9618
56 48 2461
28 28 3721
43 58 9135
51 69 3732
16 73 1527
31 21 3870
24 21 7698
49 18 6712
27 70 4853
53 58 3239
83 83 7258
63 24 5680
85 89 2152
100 10 52
1 13 5762
50 93 2430
64 74 1304
7 100 2627
53 68 2250
34 91 846
54 18 5158
42 53 998
11 87 377
18 36 7822
54 60 3011
75 2 4454
54 7 4674
95 47 5744
49 46 7393
97 52 1479
42 87 7867
29 42 147
84 98 9641
80 65 5549
8 83 2042
70 6 8285
47 69 1052
58 27 768
69 96 1202
90 72 5821
100 72 6766
29 58 1419
89 33 8156
90 97 3328
4 13 1025
32 27 8986
57 53 3305
39 17 8130
70 5 6958
3 74 3908
7 13 1464
26 84 3799
42 64 1866
94 60 8406
33 4 3
39 97 2202
100 61 6038
85 38 9969
20 24 2592
98 31 1668
70 75 7799
65 89 1831
82 59 9828
65 20 7072
86 62 3432
82 98 6449
82 10 3658
89 52 2798
63 27 652
29 56 2084
70 37 6853
59 62 2693
26 22 1081
71 48 6421
17 32 8466
83 42 5038
12 93 8050
99 9 7513
3 72 1459
39 19 6350
99 10 4757
88 44 2161
26 61 1703
11 2 9572
21 92 6772
58 10 740
11 22 4126
18 91 628
64 50 8391
94 24 1999
12 50 3932
36 38 9970
87 4 1906
56 86 8523
59 98 4396
62 13 785
63 46 3587
84 15 3629
44 76 679
66 84 653
18 22 5631
40 72 5299
63 3 1781
44 30 5383
49 29 9374
25 40 7452
84 39 7315
96 82 1378
8 97 3492
40 79 7400
50 42 1222
57 64 4619
46 46 2674
74 54 2097
73 34 4640
73 94 492
82 1 7981
94 62 2026
40 62 2193
50 41 4676
36 40 6253
55 76 9174
79 76 4720
73 85 3777
88 8 7465
57 16 6252
98 85 1273
50 12 415
8 20 9073
92 13 5913
38 20 5289
83 26 356
75 48 9661
83 31 9285
71 6 3288
80 13 5148
36 64 7972
50 54 1497
38 82 3159
71 90 3570
36 73 4287
31 23 9040
63 51 3771
72 8 6432
97 97 3439
26 21 5582
9 26 4042
64 91 6776
56 40 9197
34 38 1518
33 26 8291
42 100 6355
61 64 561
6 14 672
69 2 7538
37 35 4105
37 41 2293
97 39 1105
35 83 7572
99 46 1057
99 13 8075
98 26 4364
77 22 9000
53 81 1067
34 71 9245
59 82 5377
62 46 7784
81 85 3051
81 65 1348
66 46 9925
26 29 2711
49 57 2424
80 44 1899
17 80 9753
17 8 4923
13 10 4021
63 70 3460
27 31 6718
94 65 860
55 74 2687
17 98 6955
43 77 2633
17 13 6686
45 92 1944
44 20 395
77 34 8979
97 93 3228
11 1 1554
38 33 1502
38 76 9940
21 12 5046
58 39 7615
46 17 5225
76 99 8895
69 94 8812
16 5 5992
38 4 951
35 91 1841
21 44 4620
1 82 7820
31 23 7029
42 52 6342
28 81 937
98 20 1099
96 15 6158
45 46 2091
73 40 5132
88 63 1122
44 42 2825
13 86 2922
51 49 8144
88 38 1449
44 44 624
92 79 5715
1 96 9049
56 68 6459
43 33 2354
44 40 1592
8 20 3653
81 79 149
67 61 9643
47 33 9931
57 9 5621
91 45 5426
7 88 7138
92 49 4427
89 21 2750
40 36 1765
5 39 6948
47 55 8331
52 72 2252
77 40 7991
27 93 5152
33 76 436
89 41 6598
14 98 643
48 2 6963
67 77 7230
6 31 2264
45 86 208
33 46 1909
77 20 4922
40 12 1661
25 96 335
89 25 7939
54 68 5268
45 45 6156
15 12 3653
48 22 9486
42 76 390
14 91 7236
89 48 5193
76 45 7493
93 79 1791
26 33 3099
69 23 1329
40 38 6879
62 2 261
10 22 9860
89 59 4601
26 79 2236
40 95 9736
35 20 9312
89 25 8069
31 64 6140
48 35 9673
89 21 9478
20 28 2761
77 97 2576
3 17 6041
9 14 8822
47 72 2486
76 76 6464
94 47 3990
18 29 6507
63 8 7272
16 68 1165
4 56 1027
56 11 1726
42 46 6013
30 73 1288
23 27 3959
26 47 2355
72 1 951
57 17 9731
50 71 9320
60 28 8687
46 95 3668
51 10 1191
88 56 2408
71 53 2983
18 9 8605
65 38 7414
57 49 2336
68 2 1839
61 40 8525
64 44 4098
17 15 3131
3 30 7618
38 61 436
93 72 5789
78 38 9094
22 43 1949
36 40 6205
14 56 2531
92 53 246
73 5 497
22 49 9772
25 72 3701
54 83 8585
91 99 4121
100 15 299
56 92 3704
23 51 801
84 35 6713
65 45 1269
43 20 1102
56 24 4318
77 27 1001
48 46 2292
46 9 4339
28 18 1259
13 7 3216
16 4 2999
62 74 5915
42 19 2107
70 49 7747
64 51 4104
38 76 9578
22 46 2132
8 83 5616
78 30 77
49 74 6068
87 64 3883
64 29 1735
94 43 44
43 72 4294
24 96 6049
92 19 5241
17 12 3235
92 22 9012
20 9 1534
21 100 804
99 38 6471
52 52 7429
39 46 3357
33 39 6270
62 41 6813
40 44 9181
30 9 9976
39 77 528
84 95 248
80 35 1498
58 99 7749
40 15 5445
95 76 6594
93 92 8466
84 96 4720
99 14 5124
12 55 8284
90 62 7883
31 30 4074
11 64 794
17 19 5978
6 100 1866
59 79 9297
44 61 4603
86 100 4187
84 38 688
89 79 2609
64 51 8906
30 36 8182
1 10 3394
87 86 4858
35 94 4952
25 29 8762
29 85 9608
78 86 3987
81 75 778
17 28 4439
29 55 7145
81 56 6416
22 18 7934
6 63 4856
37 16 2597
72 57 5055
19 73 48
99 74 8851
83 40 9700
98 59 4472
71 99 1160
63 83 3284
10 64 5229
98 45 2437
85 94 7030
27 59 6485
98 54 5545
61 59 9456
13 89 7153
52 65 322
15 60 9866
79 73 1676
40 85 9613
31 46 252
41 40 8742
78 26 469
36 9 8843
75 100 139
27 87 8297
8 85 1755
99 36 5477
51 63 585
67 30 1002
31 84 6220
59 74 5754
78 33 4940
57 4 1244
20 83 3505
87 54 3959
96 62 1588
54 46 8776
12 14 891
12 99 8760
90 31 5589
15 75 2585
1 73 5711
38 64 1998
35 63 6134
67 20 9529
29 68 2639
76 48 6161
79 51 4410
37 76 3659
35 96 8314
73 10 4808
89 13 4669
10 28 9785
18 62 2743
9 66 4934
29 64 5075
74 77 1839
46 97 109
60 77 9399
40 18 4045
44 25 2359
67 37 597
58 54 6700
7 54 5293
4 86 7494
5 81 2899
79 93 2372
53 19 8972
43 45 3223
82 24 433
67 55 7164
72 29 2121
14 15 7367
32 40 1231
73 66 3321
70 62 6275
95 94 9074
3 63 8520
48 55 7507
65 8 2842
11 83 5884
51 35 5365
47 81 2964
100 58 82
45 33 4082
33 16 4679
57 68 7553
71 1 1241
22 8 9490
95 16 4736
67 31 2601
92 12 4267
34 75 7353
14 82 8755
78 21 8124
83 9 2210
98 72 6156
16 59 1884
60 34 1502
95 41 3059
59 22 633
73 41 946
27 65 5788
39 71 6838
38 64 671
37 77 1340
27 33 718
89 33 3382
4 48 2267
60 22 2001
66 85 7247
84 20 9050
52 72 4036
46 54 1748
9 59 8041
19 84 9186
27 28 2026
89 37 7278
30 40 1205
36 86 6117
83 93 9723
15 13 173
93 24 8929
43 81 281
44 94 3255
99 45 8525
27 60 2018
100 11 724
51 36 8485
92 69 9654
97 22 5821
79 74 1026
84 6 6965
84 9 5510
1 80 4225
93 49 2439
74 65 1111
54 91 7231
71 96 2167
2 72 4583
93 33 28
79 83 4915
77 98 3309
57 98 9667
67 33 3132
85 57 9694
75 6 560
100 44 869
6 65 9608
22 66 7396
93 56 2264
33 27 4847
21 1 226
82 96 1500
38 62 7720
88 47 9009
26 36 2938
54 41 7437
67 6 7782
35 8 4601
99 79 2186
97 31 8711
19 36 9129
18 76 9632
40 66 5475
84 28 3060
80 4 1169
87 88 7585
36 24 8218
2 28 640
74 91 1131
58 85 3820
29 14 4414
76 40 486
50 38 6565
84 23 8363
54 12 9100
90 21 1980
26 25 6527
57 38 8068
12 36 2885
98 30 4353
28 50 7283
86 70 2384
97 39 670
93 48 4341
69 49 2103
53 7 9722
35 38 9337
79 78 9945
31 15 6689
44 11 1884
3 28 4178
43 13 9336
93 64 7946
91 23 9061
25 89 557
80 90 3301
2 62 2726
81 15 7982
59 3 734
22 75 1079
67 26 402
92 3 5695
26 63 9241
4 11 1633
29 74 4224
73 39 2013
68 22 4315
36 96 1926
10 81 8511
63 49 7142
75 49 6281
95 16 9932
99 70 4687
95 84 9647
89 34 1640
67 27 400
23 91 8996
24 80 6813
5 80 2685
11 85 7434
46 95 2953
58 33 1042
45 45 598
35 19 657
12 90 2583
73 72 6314
77 70 8361
12 43 1793
23 93 5174
47 52 9765
38 99 2155
73 60 6907
19 42 5492
42 28 9927
3 68 6692
50 39 974
77 89 1972
79 57 1758
53 31 1442
